Item,CH105_inplane_C(1)(1),CH105_Time_SEC(1)(1),CH106_inplane_C(1)(1),CH106_Time_SEC(1)(1),CH107_inplane_C(1)(1),CH107_Time_SEC(1)(1),CH108_inplane_C(1)(1),CH108_Time_SEC(1)(1),CH109_inplane_C(1)(1),CH109_Time_SEC(1)(1),CH110_inplane_C(1)(1),CH110_Time_SEC(1)(1),CH125_inplane_C(1)(1),CH125_Time_SEC(1)(1),CH126_inplane_C(1)(1),CH126_Time_SEC(1)(1),CH127_inplane_C(1)(1),CH127_Time_SEC(1)(1),CH128_inplane_C(1)(1),CH128_Time_SEC(1)(1),CH129_inplane_C(1)(1),CH129_Time_SEC(1)(1),CH130_inplane_C(1)(1),CH130_Time_SEC(1)(1),CH205_throughplane_C(1)(1),CH205_Time_SEC(1)(1),CH206_throughplane_C(1)(1),CH206_Time_SEC(1)(1),CH207_throughplane_C(1)(1),CH207_Time_SEC(1)(1),CH208_throughplane_C(1)(1),CH208_Time_SEC(1)(1),CH209_throughplane_C(1)(1),CH209_Time_SEC(1)(1),CH210_throughplane_C(1)(1),CH210_Time_SEC(1)(1),CH225_throughplane_C(1)(1),CH225_Time_SEC(1)(1),CH226_throughplane_C(1)(1),CH226_Time_SEC(1)(1),CH227_throughplane_C(1)(1),CH227_Time_SEC(1)(1),CH228_throughplane_C(1)(1),CH228_Time_SEC(1)(1),CH229_throughplane_C(1)(1),CH229_Time_SEC(1)(1),CH230_throughplane_C(1)(1),CH230_Time_SEC(1)(1),
11,17.4093437,49.947134,17.3736267,49.973422,17.3806896,49.999124,17.3557911,50.025423,17.3994007,50.051363,17.358223,50.076945,17.4562016,50.102941,17.4100761,50.128941,17.3743591,50.154945,17.3936501,50.180944,17.3823566,50.206943,17.3655357,50.232943,17.4695263,50.292331,17.4062366,50.318255,17.4231396,50.349192,17.4531136,50.375456,17.4425983,50.401409,17.4767628,50.426944,17.4273567,50.452946,17.4229031,50.478955,17.4706173,50.504937,17.4605331,50.530941,17.4774075,50.556942,17.4130955,50.582939,
12,17.4129028,54.952787,17.37323,54.979064,17.3801079,55.005012,17.3569736,55.031975,17.3991261,55.057936,17.362524,55.083948,17.4515171,55.109939,17.4147434,55.135953,17.3719578,55.161938,17.3945026,55.187938,17.3849697,55.213935,17.3643322,55.239942,17.4656086,55.298995,17.4069672,55.32494,17.4280815,55.351101,17.4484997,55.380086,17.4452362,55.40601,17.4757404,55.431945,17.4254513,55.457941,17.4282455,55.483956,17.4658566,55.509943,17.4678669,55.53594,17.4702454,55.561941,17.4192333,55.587946,
13,17.4106255,59.947068,17.3774624,59.98192,17.3812256,60.007939,17.3578129,60.03395,17.3979206,60.059943,17.3657074,60.086009,17.4542656,60.113161,17.4120407,60.138938,17.3752956,60.164944,17.3929157,60.190962,17.3859406,60.216941,17.3648891,60.242947,17.4728546,60.302344,17.4002724,60.328066,17.4308662,60.35399,17.4498138,60.379946,17.4458027,60.405951,17.4839439,60.436505,17.4177399,60.462453,17.4333,60.488042,17.4653473,60.513938,17.4665184,60.53994,17.4726353,60.565945,17.4171848,60.591939,
14,17.4118824,64.946457,17.3770428,64.972698,17.3832245,64.998948,17.3573494,65.024958,17.400898,65.050938,17.3614521,65.07694,17.458746,65.102947,17.4112015,65.128938,17.3742905,65.15494,17.3953514,65.183496,17.3835869,65.209387,17.3678837,65.235292,17.4640427,65.29494,17.4110851,65.320941,17.4217052,65.346961,17.4556923,65.37294,17.4400196,65.39894,17.4803543,65.424946,17.4251137,65.450941,17.4278622,65.477251,17.4748497,65.503173,17.4620075,65.531728,17.4780254,65.557941,17.4156837,65.583948,
15,17.4131851,69.946634,17.3779259,69.975525,17.3855495,70.001421,17.3569298,70.027386,17.4045753,70.052956,17.3628273,70.07894,17.4548264,70.10495,17.4147396,70.130943,17.3751545,70.157021,17.3969326,70.185417,17.3829365,70.210991,17.3701096,70.236945,17.4660645,70.29636,17.4090977,70.322084,17.4234867,70.348018,17.4553795,70.373946,17.4419937,70.399945,17.4788189,70.425945,17.4270706,70.451944,17.4247875,70.477943,17.4714775,70.506287,17.4617386,70.532232,17.4725246,70.560762,17.4216385,70.586939,
16,17.4135551,74.946128,17.378355,74.972389,17.3860722,75.00395,17.3592625,75.029937,17.401886,75.055944,17.3665085,75.081946,17.4558468,75.107944,17.4153576,75.13396,17.3750744,75.159943,17.3979492,75.187115,17.3869667,75.213068,17.3671227,75.241593,17.4707012,75.301001,17.4045868,75.326951,17.4340668,75.352953,17.4483356,75.378941,17.4456959,75.404938,17.476408,75.430939,17.4280739,75.456944,17.4287663,75.48294,17.4690208,75.508942,17.4688339,75.537941,17.4720764,75.563938,17.4168129,75.59246,
17,17.4141178,79.957662,17.3803883,79.983945,17.3826351,80.009945,17.3641434,80.035943,17.4011459,80.06194,17.3654137,80.087945,17.456192,80.113945,17.4142418,80.139956,17.3789272,80.165938,17.3954353,80.191943,17.3882713,80.220945,17.3692818,80.246945,17.4731979,80.305997,17.4036388,80.331946,17.4247513,80.357939,17.4541245,80.383935,17.4421368,80.409944,17.4840469,80.435942,17.4187813,80.461946,17.4332256,80.487955,17.4665833,80.513967,17.4605618,80.544789,17.4802208,80.570938,17.4128895,80.596945,
18,17.4149265,84.946945,17.3801899,84.973188,17.3871155,85.001721,17.3587742,85.027943,17.4064693,85.053944,17.3668995,85.079947,17.4551201,85.105945,17.4156437,85.131938,17.3775902,85.157938,17.3980961,85.183941,17.3860683,85.21008,17.3675747,85.23935,17.4687252,85.298939,17.4092312,85.324947,17.429863,85.350955,17.4515896,85.376947,17.4494114,85.402943,17.4751778,85.428941,17.4280128,85.454942,17.4281712,85.480941,17.4725342,85.506946,17.4637108,85.532943,17.4758892,85.5594,17.4190788,85.588259,
19,17.4178429,89.95373,17.3810863,89.979977,17.3864803,90.00594,17.3635254,90.031947,17.4036903,90.05794,17.3677235,90.083942,17.4551525,90.109945,17.4197693,90.135937,17.375803,90.161939,17.3953781,90.187946,17.3879833,90.21395,17.3683262,90.240581,17.4750881,90.302637,17.4012432,90.328936,17.4289379,90.354941,17.4514122,90.380952,17.447773,90.40694,17.4783707,90.432946,17.4242554,90.458938,17.4336662,90.484955,17.4667416,90.510942,17.47225,90.536952,17.4772949,90.567904,17.4141865,90.593945,
20,17.4175014,94.947114,17.3826065,94.973403,17.3876743,94.998979,17.3621178,95.024941,17.4060135,95.050947,17.3667717,95.076947,17.4617119,95.102938,17.4138832,95.128959,17.3769951,95.154939,17.3978748,95.180936,17.3856812,95.209506,17.3686733,95.238415,17.4688492,95.297938,17.40938,95.323941,17.4275894,95.349938,17.4542141,95.375935,17.4482594,95.401943,17.4759865,95.42794,17.4305439,95.453943,17.4280453,95.479954,17.473156,95.505946,17.4651241,95.532479,17.478426,95.558408,17.4243107,95.586931,
