Item,CH105_inplane_C(1)(1),CH105_Time_SEC(1)(1),CH106_inplane_C(1)(1),CH106_Time_SEC(1)(1),CH107_inplane_C(1)(1),CH107_Time_SEC(1)(1),CH108_inplane_C(1)(1),CH108_Time_SEC(1)(1),CH109_inplane_C(1)(1),CH109_Time_SEC(1)(1),CH110_inplane_C(1)(1),CH110_Time_SEC(1)(1),CH125_inplane_C(1)(1),CH125_Time_SEC(1)(1),CH126_inplane_C(1)(1),CH126_Time_SEC(1)(1),CH127_inplane_C(1)(1),CH127_Time_SEC(1)(1),CH128_inplane_C(1)(1),CH128_Time_SEC(1)(1),CH129_inplane_C(1)(1),CH129_Time_SEC(1)(1),CH130_inplane_C(1)(1),CH130_Time_SEC(1)(1),CH205_throughplane_C(1)(1),CH205_Time_SEC(1)(1),CH206_throughplane_C(1)(1),CH206_Time_SEC(1)(1),CH207_throughplane_C(1)(1),CH207_Time_SEC(1)(1),CH208_throughplane_C(1)(1),CH208_Time_SEC(1)(1),CH209_throughplane_C(1)(1),CH209_Time_SEC(1)(1),CH210_throughplane_C(1)(1),CH210_Time_SEC(1)(1),CH225_throughplane_C(1)(1),CH225_Time_SEC(1)(1),CH226_throughplane_C(1)(1),CH226_Time_SEC(1)(1),CH227_throughplane_C(1)(1),CH227_Time_SEC(1)(1),CH228_throughplane_C(1)(1),CH228_Time_SEC(1)(1),CH229_throughplane_C(1)(1),CH229_Time_SEC(1)(1),CH230_throughplane_C(1)(1),CH230_Time_SEC(1)(1),
42,17.4343281,204.947941,17.3954945,204.974237,17.4015427,205.008738,17.377409,205.034937,17.4211559,205.060938,17.3834648,205.086949,17.463541,205.112941,17.4195557,205.138937,17.3829823,205.167461,17.4039593,205.19336,17.3941612,205.219587,17.3771439,205.245939,17.4759178,205.305309,17.4170628,205.331247,17.4247017,205.356957,17.4660225,205.382945,17.4472561,205.408991,17.4824085,205.440423,17.4369049,205.466639,17.4336929,205.492945,17.4790497,205.518952,17.4706421,205.544943,17.4846287,205.57094,17.4260216,205.59694,
43,17.4346771,209.948027,17.3993759,209.979891,17.402029,210.005943,17.3819866,210.031938,17.4177666,210.057943,17.3836155,210.083939,17.4643192,210.110031,17.4221649,210.136951,17.3853989,210.162938,17.4014397,210.188944,17.3974838,210.214937,17.3734474,210.240942,17.4805832,210.300386,17.4100666,210.326106,17.4331245,210.352045,17.4580479,210.377963,17.4524956,210.403938,17.4878445,210.429945,17.4286156,210.456605,17.4402199,210.485181,17.4741936,210.51112,17.473793,210.537067,17.4821072,210.562944,17.4225311,210.588936,
44,17.4340839,214.946948,17.3969707,214.97324,17.4012985,215.007744,17.378931,215.033941,17.4216652,215.059944,17.3850422,215.085945,17.4646606,215.111938,17.4212418,215.138144,17.3871765,215.166757,17.4048061,215.192937,17.3938904,215.218948,17.3768749,215.244944,17.4785919,215.304313,17.4151325,215.330224,17.4277534,215.355937,17.46558,215.381937,17.4459133,215.407947,17.4900379,215.433952,17.4302959,215.462062,17.4387035,215.487991,17.481596,215.516695,17.4697323,215.542945,17.4865875,215.568946,17.4229889,215.594939,
45,17.4342575,219.946939,17.3992367,219.978821,17.403286,220.004938,17.3824482,220.030939,17.419672,220.05694,17.3877964,220.08294,17.4625893,220.108944,17.4211807,220.134957,17.3865585,220.160943,17.4042072,220.186942,17.3999252,220.215445,17.3751888,220.241618,17.4802723,220.30107,17.4106884,220.326947,17.4332314,220.352938,17.4600582,220.378948,17.4513798,220.404945,17.4898109,220.430937,17.4275723,220.456969,17.4383392,220.488027,17.4802494,220.514273,17.4692993,220.540264,17.4892006,220.56594,17.4197712,220.59194,
46,17.4356842,224.947556,17.3967056,224.97394,17.4069271,224.999946,17.3811111,225.025951,17.4225254,225.051945,17.3865089,225.077942,17.4633789,225.103942,17.4242535,225.129937,17.384409,225.155948,17.4026413,225.184943,17.3968258,225.210944,17.3770828,225.236944,17.4767914,225.296017,17.4124813,225.321941,17.4383774,225.347959,17.4570808,225.373936,17.4574547,225.399943,17.4836712,225.425944,17.4342003,225.45194,17.4352722,225.477943,17.4781971,225.504511,17.4778709,225.533077,17.4803448,225.558965,17.4280624,225.584944,
47,17.4361668,229.946941,17.4015636,229.978804,17.405426,230.004941,17.3835316,230.030941,17.4202919,230.056943,17.3895302,230.082944,17.4649677,230.108939,17.4226723,230.134941,17.3864193,230.160944,17.4043922,230.187074,17.399786,230.215947,17.3757,230.241936,17.480299,230.301373,17.4118786,230.327108,17.4345646,230.353022,17.4605026,230.378943,17.4507504,230.404943,17.4901161,230.430945,17.42873,230.456942,17.4445801,230.482957,17.4738426,230.508946,17.4750767,230.535528,17.48629,230.564085,17.4203625,230.590276,
48,17.4376907,234.946942,17.3990822,234.973228,17.4047604,235.007752,17.3823872,235.033945,17.4246426,235.059939,17.3868523,235.085937,17.465868,235.111936,17.4233093,235.137939,17.3893337,235.16394,17.4029179,235.189939,17.3993664,235.215958,17.3786736,235.244539,17.4799309,235.303937,17.4147434,235.329941,17.4285793,235.355957,17.4686928,235.381942,17.4471054,235.407944,17.4899216,235.433941,17.4298096,235.459937,17.4419804,235.485959,17.4767952,235.511936,17.4736195,235.537977,17.4906464,235.565939,17.4238205,235.594493,
49,17.4382038,239.945938,17.4014568,239.974832,17.4069023,240.000941,17.384573,240.026947,17.4245949,240.052939,17.3889427,240.078939,17.4635849,240.104942,17.4285603,240.130941,17.3853683,240.156939,17.4049225,240.182946,17.3971519,240.208938,17.3775768,240.235787,17.4773731,240.295196,17.4091492,240.323718,17.4367752,240.349938,17.4598351,240.375951,17.4557762,240.401942,17.4866428,240.427941,17.4317131,240.453942,17.4413624,240.479938,17.4742165,240.505936,17.4804249,240.531939,17.4811726,240.55795,17.4235077,240.588137,
50,17.4388103,244.947945,17.4024334,244.9742,17.4059219,245.005695,17.3846207,245.03194,17.4263191,245.057941,17.3886642,245.083942,17.4666634,245.109942,17.4241009,245.135939,17.3904037,245.161945,17.4051037,245.187939,17.4010277,245.213937,17.3770332,245.239941,17.4809914,245.29977,17.4122829,245.325946,17.4286785,245.354489,17.4678593,245.380679,17.4489632,245.406947,17.491785,245.432943,17.4307346,245.458938,17.4410534,245.484955,17.4775963,245.510941,17.4731598,245.536948,17.4893913,245.56294,17.4209862,245.588938,
51,17.4407177,249.946645,17.4037323,249.972936,17.4078751,249.998942,17.3857307,250.025305,17.4269695,250.050944,17.3915443,250.076939,17.4647179,250.102946,17.4293175,250.128955,17.3869133,250.154943,17.4065361,250.180943,17.3989964,250.206942,17.3780727,250.232944,17.4770088,250.292389,17.4159584,250.318195,17.4414463,250.346395,17.4594898,250.372313,17.4541702,250.400891,17.4897575,250.426941,17.4318237,250.452946,17.4462757,250.478938,17.4731598,250.504942,17.4767017,250.530942,17.482542,250.556939,17.4301853,250.582947,
52,17.4396572,254.948184,17.405838,254.974432,17.4079781,255.002958,17.3877888,255.029063,17.4272156,255.05506,17.3898849,255.080943,17.4686337,255.106944,17.4267063,255.132955,17.3908176,255.158945,17.4059372,255.184937,17.4023018,255.210939,17.3779793,255.236944,17.4824104,255.296321,17.4133511,255.322269,17.4357586,255.348054,17.469677,255.377902,17.4488811,255.40394,17.4918423,255.429942,17.430975,255.455941,17.4422283,255.481939,17.4784489,255.507939,17.4747581,255.533941,17.4884872,255.559941,17.4211578,255.585939,
53,17.4402657,259.954769,17.4046764,259.981014,17.4119396,260.006958,17.3862114,260.032946,17.4311314,260.059167,17.3892078,260.085139,17.4693089,260.110944,17.4278889,260.136942,17.3887615,260.162943,17.4089069,260.188939,17.3982964,260.214943,17.3814812,260.240947,17.4777088,260.299981,17.4204731,260.325942,17.4280701,260.351939,17.4615078,260.383009,17.4569359,260.408936,17.4847126,260.434939,17.4392033,260.460942,17.4366856,260.486938,17.4810448,260.512938,17.4730091,260.538944,17.487915,260.564939,17.4278526,260.59094,
54,17.4406567,264.947144,17.4084644,264.973417,17.4102345,264.999002,17.3904133,265.024942,17.4266701,265.051023,17.392828,265.076945,17.4693966,265.102946,17.4262447,265.128956,17.3897495,265.15494,17.407198,265.180936,17.40205,265.206943,17.3782406,265.232944,17.4852886,265.292336,17.4111767,265.318272,17.4384766,265.343938,17.4617558,265.370029,17.4500599,265.399548,17.4951286,265.42513,17.4295921,265.451039,17.4428558,265.476968,17.4758053,265.502937,17.4784698,265.528938,17.4848423,265.554944,17.4277725,265.580944,
55,17.4403591,269.949345,17.4083538,269.975582,17.4129162,270.001938,17.3876514,270.027949,17.4308033,270.053957,17.3919487,270.080706,17.4727154,270.106949,17.425602,270.132938,17.3888111,270.159168,17.4087696,270.184942,17.3995094,270.210936,17.3819485,270.236949,17.4820538,270.296006,17.41675,270.321939,17.4299984,270.347943,17.4699745,270.373943,17.4500942,270.400475,17.4925232,270.426408,17.4356155,270.454969,17.4388809,270.480944,17.4839859,270.506943,17.4695053,270.532939,17.4893608,270.558943,17.4251194,270.584943,
56,17.4411335,274.945942,17.4066143,274.980796,17.4164371,275.006943,17.3880997,275.032945,17.4297142,275.058957,17.3950748,275.084956,17.4697304,275.111494,17.4293327,275.137072,17.3881378,275.162958,17.4114208,275.188943,17.3978786,275.214938,17.3824387,275.240941,17.4772472,275.300345,17.4186153,275.326065,17.4354362,275.351962,17.4670696,275.377937,17.4550743,275.403946,17.4852428,275.432071,17.4378834,275.458312,17.4410534,275.486882,17.4795589,275.512944,17.4798508,275.538937,17.4811592,275.564939,17.4316959,275.59094,
57,17.4429417,279.948774,17.4080467,279.975076,17.4133072,280.009556,17.3905067,280.035448,17.4309292,280.061397,17.397171,280.086944,17.4674988,280.113038,17.4275074,280.140468,17.3913364,280.166218,17.4093437,280.192138,17.4020081,280.218076,17.3811264,280.243941,17.4817886,280.303309,17.4140987,280.329261,17.4445286,280.354937,17.460392,280.380942,17.4568634,280.406944,17.4863319,280.432945,17.4372272,280.459579,17.4411602,280.485937,17.4745293,280.514437,17.4777985,280.540622,17.484024,280.566943,17.4313354,280.592957,
58,17.4451046,284.949069,17.4100189,284.974993,17.4154205,285.000946,17.3891296,285.026942,17.4346142,285.052938,17.3945255,285.078936,17.4737911,285.104948,17.4304504,285.133713,17.3912048,285.159959,17.4116726,285.185937,17.3983135,285.211938,17.3852921,285.237943,17.4770718,285.297391,17.4202576,285.323096,17.4350739,285.349003,17.4670486,285.374942,17.4528141,285.400943,17.490221,285.426946,17.4395618,285.453075,17.4381618,285.482589,17.4831562,285.508939,17.4770889,285.534936,17.4854984,285.560943,17.4324341,285.586945,
59,17.4461308,289.946944,17.4099731,289.973211,17.4156075,290.004738,17.3916874,290.030946,17.4334888,290.056938,17.3983784,290.082941,17.4699249,290.108939,17.4311523,290.135085,17.3913937,290.162949,17.4083309,290.188945,17.4020653,290.214947,17.3828583,290.240941,17.481287,290.300325,17.4170017,290.326268,17.4419308,290.351955,17.4610119,290.377945,17.4612923,290.403945,17.4882431,290.429938,17.4389954,290.455985,17.4426632,290.484105,17.4774799,290.512907,17.4801903,290.538944,17.484827,290.564939,17.4305077,290.590945,
60,17.4467983,294.946685,17.4108257,294.972946,17.416832,294.99894,17.3911419,295.02515,17.4370995,295.05094,17.3955154,295.076941,17.4729996,295.102944,17.4298458,295.128957,17.3915806,295.154952,17.411932,295.183333,17.4006691,295.208938,17.3872738,295.234941,17.4769344,295.294381,17.4212856,295.320095,17.4337254,295.346017,17.4687195,295.371936,17.4539223,295.397944,17.4926872,295.423937,17.4367523,295.449947,17.4399223,295.475963,17.4833317,295.504306,17.4742413,295.530241,17.48522,295.558778,17.4346275,295.584948,
61,17.4475384,299.94733,17.4120274,299.973575,17.4191532,300.002127,17.394207,300.028021,17.4347477,300.053961,17.3986111,300.079935,17.4710922,300.105943,17.4319382,300.131942,17.3920841,300.157941,17.4144211,300.185148,17.4020767,300.211098,17.3835182,300.23963,17.4836807,300.299031,17.4157658,300.324971,17.4451714,300.350956,17.4608479,300.376944,17.4585781,300.402941,17.4888897,300.428938,17.4392223,300.454943,17.4404984,300.48094,17.481245,300.506948,17.4801712,300.537509,17.4856777,300.563478,17.4311218,300.589214,
62,17.447485,304.954239,17.4146748,304.980485,17.4165821,305.006444,17.3955441,305.032277,17.4331188,305.058189,17.402029,305.084119,17.4719086,305.109942,17.4292698,305.135935,17.3933945,305.161938,17.4114037,305.18795,17.4059086,305.216256,17.3816376,305.242202,17.4847355,305.301941,17.4162045,305.327939,17.4378719,305.353941,17.4641838,305.379938,17.4553604,305.405943,17.4950218,305.431941,17.4326553,305.457941,17.4484615,305.483937,17.4780884,305.509943,17.4745388,305.540836,17.4948692,305.56694,17.4260063,305.592939,
63,17.4492397,309.945945,17.411335,309.972182,17.4188309,310.000722,17.3949547,310.026946,17.4357128,310.052945,17.4010162,310.078942,17.471777,310.104944,17.434145,310.130954,17.3906136,310.156943,17.4138813,310.182944,17.4035187,310.20907,17.3828678,310.238052,17.4847546,310.297441,17.4150085,310.323385,17.4470711,310.348963,17.4619579,310.374941,17.4584274,310.400937,17.4889736,310.426941,17.4402351,310.45294,17.4425697,310.478944,17.4813137,310.504938,17.4804726,310.530947,17.4827404,310.557497,17.4325275,310.58635,
64,17.4489117,314.951418,17.415123,314.977674,17.4181499,315.003938,17.3976231,315.029952,17.4356232,315.055938,17.4034576,315.081942,17.4727345,315.107945,17.430048,315.133937,17.3951149,315.159947,17.4129391,315.185946,17.4054909,315.211952,17.3840733,315.240543,17.4862461,315.299945,17.4168758,315.325943,17.4387474,315.351959,17.4651985,315.377942,17.455864,315.403945,17.4962158,315.429938,17.4328651,315.455945,17.4486256,315.481937,17.4792213,315.50794,17.4810886,315.53395,17.4877262,315.560473,17.4309311,315.586694,
65,17.4538021,319.946648,17.4148369,319.981462,17.4208908,320.007395,17.3964062,320.033299,17.4387398,320.058939,17.4007797,320.084934,17.4742641,320.110943,17.4312019,320.136942,17.3989334,320.162944,17.410408,320.18894,17.402914,320.214949,17.3860283,320.241463,17.4852886,320.300938,17.4237442,320.32946,17.4318981,320.355371,17.4705296,320.381578,17.4547997,320.407943,17.4955769,320.43394,17.4356213,320.459942,17.442709,320.485956,17.486124,320.511935,17.4737816,320.538,17.4887333,320.568978,17.4334698,320.595213,
66,17.450182,324.948047,17.4174156,324.974287,17.4207439,325.000235,17.3978405,325.025941,17.4380779,325.051942,17.4053478,325.077938,17.4707069,325.10394,17.4332447,325.129938,17.3953629,325.155938,17.4129066,325.181947,17.4057846,325.207946,17.3847046,325.234072,17.4859505,325.297104,17.4173241,325.323023,17.4406872,325.348938,17.4653683,325.374945,17.4572468,325.400943,17.4947739,325.426939,17.435997,325.452941,17.4503117,325.478953,17.4780827,325.504941,17.4806061,325.530944,17.4871025,325.556941,17.4336929,325.582942,
67,17.4514275,329.948072,17.4191246,329.976985,17.41959,330.00307,17.3988285,330.029086,17.4402809,330.05494,17.4025517,330.080939,17.4743004,330.106946,17.4330559,330.132956,17.3980389,330.15894,17.4122982,330.184941,17.4084816,330.210938,17.3841515,330.236939,17.4859886,330.296351,17.4178295,330.322274,17.4407558,330.348658,17.4686012,330.37525,17.4535255,330.403818,17.496685,330.429934,17.435627,330.455947,17.4464455,330.481942,17.4827194,330.507936,17.4786263,330.533941,17.4936295,330.559938,17.4262791,330.585943,
68,17.451004,334.94595,17.4182396,334.972228,17.4248066,335.00679,17.3973885,335.03294,17.4426785,335.058946,17.4015465,335.084939,17.477869,335.110938,17.4349174,335.136941,17.3950119,335.162945,17.4149303,335.188953,17.40522,335.21494,17.3888454,335.240941,17.4827251,335.3003,17.4255867,335.326227,17.4416676,335.357222,17.4658833,335.383474,17.4628353,335.409428,17.4893684,335.43499,17.4440804,335.460943,17.4413948,335.486959,17.4867229,335.512944,17.4779377,335.538947,17.4922905,335.564938,17.4323082,335.590943,
69,17.4524975,339.949121,17.4219627,339.975024,17.4211235,340.000968,17.3994312,340.027104,17.4421902,340.052938,17.4050617,340.078936,17.4763241,340.104943,17.4330711,340.13094,17.3978672,340.15694,17.4132195,340.182939,17.4103794,340.208939,17.3852577,340.234937,17.4866619,340.294379,17.4175205,340.320209,17.4362984,340.348379,17.4710617,340.37431,17.4545364,340.402871,17.4963894,340.428939,17.4375648,340.45494,17.4469376,340.480937,17.4852219,340.506942,17.4765549,340.532942,17.4962788,340.558941,17.4276161,340.584939,
70,17.4539871,344.947189,17.4231052,344.973432,17.4261341,345.004979,17.3990822,345.031052,17.4448509,345.057047,17.4044132,345.082942,17.4787846,345.108945,17.4355507,345.134943,17.3958302,345.160946,17.4164963,345.186938,17.4073429,345.212942,17.3898029,345.238947,17.4828949,345.298339,17.4261284,345.324274,17.4335365,345.350065,17.4712811,345.379765,17.4593391,345.405942,17.4917564,345.431942,17.446043,345.45794,17.4413509,345.483957,17.4870548,345.509945,17.4770069,345.535938,17.4930077,345.56194,17.4315815,345.587941,
71,17.4582977,349.956505,17.4187164,349.982761,17.425005,350.008942,17.4027481,350.034982,17.444067,350.061208,17.4085236,350.087169,17.4750156,350.112939,17.4375916,350.138936,17.3955994,350.164941,17.4190578,350.190939,17.4069042,350.216941,17.3863945,350.242945,17.4816189,350.302019,17.4240913,350.327945,17.4431267,350.353939,17.4682293,350.379941,17.4614143,350.410701,17.4934883,350.436941,17.440218,350.462945,17.4494514,350.488957,17.4801865,350.514945,17.4857025,350.540946,17.4880848,350.566941,17.4363708,350.592943,
72,17.4550095,354.946936,17.4258995,354.973175,17.427763,355.001728,17.4031773,355.027941,17.44697,355.053965,17.4068546,355.081711,17.4771709,355.107949,17.4371052,355.133939,17.3975658,355.159949,17.4175816,355.185944,17.4074364,355.211945,17.3916626,355.237938,17.4824257,355.297332,17.4272213,355.323275,17.4358406,355.348938,17.4730759,355.374937,17.4570942,355.401125,17.4898815,355.431245,17.4455261,355.457169,17.4439125,355.483146,17.4881725,355.508938,17.4778442,355.534947,17.4934254,355.560947,17.4343739,355.586948,
73,17.4601536,359.955386,17.4216404,359.981637,17.4265308,360.007945,17.4047394,360.03395,17.4463425,360.059939,17.4102497,360.085945,17.476141,360.11433,17.4363823,360.140252,17.4001312,360.166493,17.4159107,360.192098,17.4093018,360.218007,17.3894043,360.243948,17.487215,360.303002,17.4198895,360.328942,17.4495525,360.354942,17.4649982,360.380939,17.4630375,360.406941,17.4926949,360.433076,17.4360218,360.463099,17.453043,360.489041,17.4823036,360.514944,17.4834728,360.54094,17.4885674,360.566937,17.4358845,360.592947,
74,17.4577084,364.946945,17.4227867,364.9732,17.4308929,365.00175,17.4034634,365.027942,17.4499626,365.053944,17.4077454,365.079937,17.4775982,365.105942,17.4390678,365.132097,17.3990631,365.159954,17.4201488,365.185941,17.4057064,365.211947,17.3924465,365.237945,17.482605,365.297346,17.4255619,365.323278,17.4416409,365.348954,17.4727211,365.374941,17.4585018,365.400942,17.4949856,365.426941,17.4449749,365.45296,17.444128,365.48113,17.4849758,365.509937,17.4844608,365.535939,17.488205,365.561938,17.4407272,365.587939,
75,17.4591408,369.954133,17.4248219,369.980378,17.4285488,370.006328,17.4060555,370.032249,17.4473839,370.058165,17.4129276,370.084094,17.4763527,370.10994,17.4409752,370.135941,17.3986588,370.161942,17.4170914,370.190514,17.4107113,370.216399,17.3890667,370.242342,17.4913139,370.301945,17.4180584,370.327945,17.4462795,370.353937,17.4669991,370.379941,17.464056,370.405942,17.4950504,370.431936,17.4420528,370.457943,17.4480247,370.48402,17.4831963,370.512944,17.4827766,370.541515,17.494648,370.567411,17.4310188,370.593339,
76,17.4598904,374.945937,17.4251041,374.9722,17.4333057,375.000761,17.4043827,375.026945,17.448473,375.052941,17.4130554,375.078938,17.4782562,375.104945,17.4385452,375.13094,17.3995152,375.156949,17.4213028,375.182946,17.4074497,375.208936,17.3903275,375.237452,17.4857578,375.296947,17.4252167,375.322941,17.446146,375.348955,17.4684525,375.374945,17.4669914,375.400942,17.4917068,375.426944,17.444313,375.452941,17.4444714,375.478942,17.481348,375.509867,17.4855537,375.535948,17.4901543,375.561941,17.4377747,375.587938,
77,17.4600849,379.954445,17.4267426,379.980698,17.4289932,380.00694,17.4106426,380.032954,17.4478283,380.05894,17.4114742,380.084942,17.4792385,380.110941,17.4374695,380.136939,17.4019985,380.162957,17.4177322,380.192644,17.4084663,380.218934,17.3915195,380.244944,17.4898071,380.303996,17.4233093,380.329937,17.4382629,380.355942,17.4738216,380.381938,17.4562664,380.407943,17.5019436,380.433943,17.4391346,380.459942,17.4502811,380.485954,17.4840832,380.512094,17.4778233,380.542077,17.4954891,380.567999,17.4315414,380.593946,
78,17.4629669,384.946945,17.4243546,384.973187,17.4314861,385.001731,17.4084301,385.027939,17.4490299,385.053945,17.4159393,385.079943,17.4771767,385.105943,17.4408855,385.131942,17.4009686,385.157945,17.418148,385.183966,17.4111385,385.211617,17.3894081,385.240518,17.4897423,385.29994,17.421032,385.32594,17.4442883,385.351958,17.4710274,385.377946,17.4607506,385.403946,17.4999027,385.429939,17.4372883,385.455944,17.4543285,385.481937,17.4849129,385.507945,17.4856625,385.534044,17.4968739,385.562938,17.4324493,385.591488,
79,17.4624786,389.957474,17.4270382,389.983712,17.4346104,390.009939,17.4082928,390.035954,17.4544296,390.061943,17.4114304,390.08794,17.48069,390.11394,17.440876,390.139956,17.4017677,390.165939,17.4204826,390.191943,17.4096336,390.217999,17.391716,390.247788,17.4857044,390.306946,17.4279327,390.332941,17.4435673,390.358942,17.4719887,390.384945,17.4642372,390.410944,17.4950447,390.436949,17.4484367,390.462943,17.4440994,390.488935,17.4902554,390.514938,17.4810009,390.540944,17.4967518,390.567467,17.4369164,390.593688,
80,17.4629574,394.947317,17.429842,394.973571,17.4325924,395.002117,17.4126091,395.028029,17.4504509,395.053974,17.4142857,395.07994,17.4825249,395.10594,17.44063,395.13196,17.4032249,395.157939,17.4181213,395.183939,17.414629,395.209937,17.3909893,395.235939,17.492733,395.295791,17.4226894,395.321944,17.4408665,395.35048,17.4768944,395.376687,17.4579639,395.402945,17.5010872,395.428948,17.4398651,395.454942,17.4528503,395.480942,17.4872189,395.506939,17.4850693,395.532944,17.4954185,395.55894,17.4337482,395.584939,
81,17.4644642,399.952697,17.4285526,399.978936,17.4355431,400.005061,17.4107151,400.030987,17.4550838,400.056941,17.4145966,400.082942,17.4846611,400.108942,17.4390106,400.134952,17.4025478,400.160944,17.4219627,400.186939,17.4112968,400.212936,17.3933754,400.238939,17.4891014,400.297977,17.4281979,400.324069,17.4436321,400.354202,17.4752274,400.379957,17.4621544,400.405938,17.4980278,400.431944,17.4469357,400.457943,17.4439964,400.483952,17.4931831,400.509945,17.4815922,400.535947,17.4979992,400.561943,17.4343586,400.587941,
82,17.4635715,404.945943,17.4327545,404.972219,17.4348507,404.997946,17.4151459,405.02432,17.4524708,405.050308,17.4155102,405.075938,17.4830074,405.101936,17.4412479,405.127958,17.404541,405.15394,17.4190216,405.179946,17.4145756,405.205938,17.3914013,405.231941,17.4955311,405.291329,17.4227943,405.317275,17.4463787,405.343058,17.4776058,405.373003,17.4587822,405.398954,17.5031681,405.424935,17.440403,405.450943,17.4525795,405.476944,17.4876499,405.502937,17.4864349,405.528945,17.4955215,405.554946,17.4340382,405.580938,
83,17.4665909,409.949078,17.4314671,409.975332,17.4372005,410.001259,17.4121819,410.026943,17.4563694,410.053102,17.4168568,410.079086,17.4852009,410.104939,17.4388027,410.130937,17.4040737,410.156939,17.4226971,410.182942,17.4128246,410.208945,17.3946609,410.234944,17.4910469,410.293993,17.4264565,410.319939,17.4409447,410.345938,17.4796829,410.371941,17.460865,410.400938,17.5019531,410.426943,17.4503841,410.455445,17.4457664,410.481367,17.491785,410.507574,17.4816914,410.533935,17.4977226,410.559937,17.4366245,410.585947,
84,17.4663429,414.946939,17.4327583,414.981775,17.4376984,415.007939,17.415102,415.033946,17.4548149,415.059937,17.4214344,415.086609,17.4794617,415.112945,17.441328,415.138943,17.4058304,415.164942,17.4218674,415.190938,17.4139938,415.216947,17.3929138,415.242943,17.4915867,415.302346,17.4248047,415.328068,17.454689,415.353995,17.4685459,415.379993,17.4612637,415.410893,17.5054684,415.436938,17.4398556,415.462945,17.4531956,415.488938,17.4862556,415.514943,17.4884701,415.540942,17.494688,415.566938,17.43894,415.592939,
85,17.4690113,419.948889,17.4330902,419.975178,17.4411087,420.001131,17.4118023,420.026975,17.459116,420.052937,17.4200649,420.079078,17.4830894,420.105942,17.4442043,420.13194,17.4035149,420.158254,17.4235821,420.183942,17.411335,420.209944,17.3986473,420.235947,17.4865932,420.295013,17.4297504,420.320946,17.4444752,420.346962,17.4767265,420.372947,17.4633236,420.398938,17.498806,420.425492,17.4472446,420.454363,17.4487381,420.480277,17.4929047,420.506241,17.4838371,420.531945,17.4953823,420.55794,17.4408855,420.583939,
86,17.4709988,424.949104,17.434515,424.978022,17.4392681,425.003942,17.4169788,425.029944,17.4572086,425.055938,17.4228458,425.081941,17.4811459,425.107942,17.4422646,425.136507,17.4058342,425.162704,17.4218235,425.188944,17.4165134,425.214943,17.3942661,425.240938,17.496933,425.30036,17.4213257,425.326086,17.4493408,425.35201,17.4721203,425.377946,17.4682446,425.403945,17.5035782,425.432099,17.4410934,425.458303,17.4543419,425.486836,17.4892731,425.512938,17.4871902,425.538937,17.4978981,425.564944,17.4353352,425.590944,
87,17.4704189,429.946047,17.4338913,429.972297,17.4447384,429.998244,17.4151478,430.02394,17.4577541,430.049938,17.4219189,430.07594,17.484251,430.101939,17.4457836,430.127941,17.4053841,430.153943,17.425499,430.182492,17.4155788,430.208384,17.394268,430.234304,17.4891548,430.29394,17.4294186,430.319938,17.4512959,430.34594,17.4735146,430.371941,17.4706192,430.397943,17.4950619,430.423944,17.444397,430.454791,17.4575539,430.48094,17.4855442,430.506954,17.4883499,430.532943,17.4935856,430.558937,17.4425678,430.584939,
88,17.4697533,434.949002,17.4389572,434.977896,17.4401226,435.003942,17.4207382,435.029942,17.4578018,435.05594,17.4221802,435.081941,17.4860725,435.108047,17.4433594,435.135944,17.4099522,435.162121,17.4221306,435.188082,17.4170551,435.213942,17.3967609,435.239945,17.4942036,435.299377,17.4262028,435.325105,17.4481125,435.351025,17.4756088,435.376948,17.4632816,435.402939,17.5058556,435.42894,17.4421234,435.455781,17.4539719,435.484355,17.4917545,435.510264,17.4856491,435.536217,17.5005169,435.561942,17.4339371,435.587944,
89,17.471714,439.948612,17.4387703,439.97494,17.4427795,440.006469,17.4178028,440.032359,17.4615021,440.058299,17.4236851,440.083939,17.4879398,440.110151,17.4426937,440.135942,17.4065418,440.16469,17.4253559,440.190938,17.415266,440.216948,17.3987446,440.242937,17.4905682,440.302318,17.4349766,440.328246,17.4410858,440.353939,17.4789829,440.379938,17.4628334,440.405948,17.5061073,440.431936,17.4467812,440.458743,17.4511833,440.484938,17.4945717,440.51368,17.485363,440.53994,17.5003433,440.565945,17.4384708,440.591941,
90,17.4710445,444.946876,17.4391766,444.972943,17.4440727,444.998942,17.4213867,445.025145,17.4598522,445.050942,17.4273014,445.076942,17.4832745,445.102948,17.4456463,445.128962,17.4091187,445.156502,17.4251099,445.18246,17.4171448,445.208021,17.3953629,445.233942,17.4964466,445.293363,17.4254551,445.319092,17.4560413,445.345002,17.4730988,445.370944,17.4686623,445.396941,17.5000191,445.422938,17.4499378,445.448958,17.4552555,445.479967,17.4885082,445.5062,17.4893093,445.532157,17.4986134,445.557938,17.439497,445.58394,
91,17.4728203,449.946941,17.4403095,449.973211,17.4454384,450.004725,17.4210644,450.030944,17.4638081,450.056949,17.4238434,450.082938,17.4895,450.108943,17.444231,450.134938,17.4097061,450.160938,17.4263325,450.19027,17.4162025,450.216205,17.4010277,450.24194,17.4888897,450.301336,17.434948,450.327267,17.4450188,450.352941,17.4811039,450.378936,17.4644375,450.404945,17.5048141,450.430935,17.4469852,450.456943,17.4519825,450.482984,17.4956512,450.514606,17.4897137,450.540937,17.4962444,450.566946,17.446743,450.592939,
